;Time;E;S;ES;P
0;0.0;100;500;10;0
1;0.0035517947177466573;101;501;9;0
2;0.03456256351185353;102;502;8;0
3;0.07322663363309484;103;503;7;0
4;0.12508400099140923;104;504;6;0
5;0.13741489956038133;105;505;5;0
6;0.18859482827959015;106;506;4;0
7;0.549624245680527;105;505;5;0
8;0.6128002042242027;106;505;4;1
9;0.6129143005511412;107;505;3;2
10;0.9403887127949294;106;504;4;2
11;1.073623904330672;107;504;3;3
12;1.1380092733902114;108;505;2;3
13;1.158684542336312;107;504;3;3
14;1.2224191008902736;106;503;4;3
15;1.253947040524647;107;504;3;3
16;1.2968753349890902;106;503;4;3
17;1.2970915878789453;107;504;3;3
18;1.404755174738896;108;505;2;3
19;1.46279693417396;109;506;1;3
20;1.5140973749135884;108;505;2;3
21;1.6283590082728214;109;506;1;3
22;1.6351575219938388;108;505;2;3
23;1.6835975209727214;109;506;1;3
24;1.7500045632309695;108;505;2;3
25;1.8707459374312878;109;506;1;3
26;1.9068834476128784;108;505;2;3
27;2.0066977258266685;109;506;1;3
28;2.0481417415980894;110;507;0;3
29;2.502436236636157;109;506;1;3
30;2.532103757935065;110;506;0;4
31;2.761790654987301;109;505;1;4
32;2.7652796239135733;110;506;0;4
33;2.80033611663743;109;505;1;4
34;3.086190898199462;108;504;2;4
35;3.121846118264453;109;504;1;5
36;3.135941590516083;108;503;2;5
37;3.154936702615133;107;502;3;5
38;3.2841323677413357;106;501;4;5
39;3.321315969921769;107;502;3;5
40;3.3892747404732795;108;503;2;5
41;3.420574184536268;107;502;3;5
42;3.5570994453218012;106;501;4;5
43;3.5824690128558117;105;500;5;5
44;3.6074680248022384;106;501;4;5
45;3.6322190394618445;107;502;3;5
46;3.722642808730121;108;503;2;5
47;3.7432165891905504;107;502;3;5
48;3.90968358471139;106;501;4;5
49;3.93588991435455;105;500;5;5
50;3.9896624371776768;104;499;6;5
51;4.010105198949197;105;500;5;5
52;4.1116567794542656;106;501;4;5
53;4.225535911199708;107;502;3;5
54;4.242745725621365;108;503;2;5
55;4.359617468428406;107;502;3;5
56;4.4399432576764095;108;503;2;5
57;4.454805821117965;109;504;1;5
58;4.497062786221273;110;505;0;5
59;4.650025161505727;109;504;1;5
60;4.693660835087976;108;503;2;5
61;4.735355555625443;109;503;1;6
62;4.826802537705642;108;502;2;6
63;4.971620048813302;107;501;3;6
64;4.981457606791603;108;501;2;7
65;5.01454184574932;107;500;3;7
66;5.25254950626173;108;501;2;7
67;5.54471322736154;107;500;3;7
68;5.755904649219975;106;499;4;7
69;5.883577397973811;105;498;5;7
