;Time;E;S;ES;P
0;0.0;100;500;10;0
1;0.019713934601210206;101;501;9;0
2;0.08711125530256686;102;501;8;1
3;0.11543853799134873;103;501;7;2
4;0.15898078307582264;104;502;6;2
5;0.1830461894696626;105;503;5;2
6;0.2686108267744808;106;503;4;3
7;0.3127093507895262;105;502;5;3
8;0.34697782015238904;106;502;4;4
9;0.41437081041561813;105;501;5;4
10;0.46966805673450696;106;501;4;5
11;0.5159052967142693;107;502;3;5
12;0.5421828528883201;108;502;2;6
13;0.5698906555699048;109;503;1;6
14;0.7587281298915587;108;502;2;6
15;0.8784500104934804;109;503;1;6
16;0.8975403125676343;108;502;2;6
17;0.9847031282169163;109;502;1;7
18;1.2486650977225329;108;501;2;7
19;1.3675826088122052;109;502;1;7
20;1.601628441105028;108;501;2;7
21;1.6611173847860758;109;502;1;7
22;1.952799434088129;110;502;0;8
23;2.06105854424529;109;501;1;8
24;2.062168293981404;110;501;0;9
25;2.1519922515099172;109;500;1;9
26;2.370783163249256;108;499;2;9
27;2.6734336731409822;109;500;1;9
28;2.694058872851551;108;499;2;9
29;2.7208143613116658;109;500;1;9
30;2.7220096267465044;110;501;0;9
31;2.747028470424358;109;500;1;9
32;2.7570181982395834;108;499;2;9
33;2.8137706844485844;109;499;1;10
34;3.0200125423733883;108;498;2;10
35;3.4320514183844986;109;498;1;11
36;3.4648707658678957;110;498;0;12
37;3.5131037352047563;109;497;1;12
38;3.5918860569966826;110;498;0;12
39;3.624434094259947;109;497;1;12
40;3.664435185232745;108;496;2;12
41;3.691420484776838;107;495;3;12
42;3.751441011651017;108;496;2;12
43;3.7641742774767715;107;495;3;12
44;3.77745477994566;108;495;2;13
45;3.778019462552692;107;494;3;13
46;3.8541219536114166;108;495;2;13
47;4.108875621938281;107;494;3;13
48;4.212197136841166;106;493;4;13
49;4.237773916246464;107;494;3;13
50;4.248772317916414;108;494;2;14
51;4.251130665353127;107;493;3;14
52;4.3175267255694605;108;494;2;14
53;4.4370724279976015;107;493;3;14
54;4.625914455930392;106;492;4;14
55;4.634257664252288;107;492;3;15
56;4.670670502556802;108;492;2;16
57;4.703556092010077;109;493;1;16
58;4.75767787014484;110;493;0;17
59;4.846316750157571;109;492;1;17
60;4.8949644035762585;110;493;0;17
61;4.937532849294002;109;492;1;17
62;4.96825065660313;108;491;2;17
63;5.002723285933504;107;490;3;17
64;5.137459492534831;108;491;2;17
65;5.17202721739758;107;490;3;17
66;5.272099326325941;108;490;2;18
67;5.403504668827674;109;491;1;18
68;5.504056273243386;110;492;0;18
69;5.782806514634202;109;491;1;18
70;5.7834553859895275;108;490;2;18
71;6.074483421500777;107;489;3;18
72;6.079367446332295;108;490;2;18
73;6.1188062760632365;109;491;1;18
74;6.460627086541881;110;492;0;18
75;6.560417266528235;109;491;1;18
76;6.91206476826193;108;490;2;18
77;7.005104914224476;109;491;1;18
78;7.122141033809828;108;490;2;18
79;7.144132859890956;109;491;1;18
80;7.233299304099276;108;490;2;18
81;7.261153026162239;109;491;1;18
82;7.338072735708481;108;490;2;18
83;7.365195763766521;107;489;3;18
84;7.380118607602447;108;489;2;19
85;7.433276524676403;107;488;3;19
86;7.452922286455163;108;489;2;19
87;7.486211376752344;107;488;3;19
88;7.486893383369691;108;488;2;20
89;7.497302982243118;109;488;1;21
90;7.535028191077911;110;488;0;22
91;7.5517200256150065;109;487;1;22
92;7.561278140650882;110;488;0;22
93;7.803720204055703;109;487;1;22
94;7.992995721543628;108;486;2;22
95;8.015152583331153;109;486;1;23
96;8.12640781403507;108;485;2;23
97;8.26333422240841;107;484;3;23
98;8.377786155929368;106;483;4;23
99;8.409831341873279;105;482;5;23
100;8.473833214265818;104;481;6;23
101;8.536615300202463;103;480;7;23
102;8.618395919297164;104;481;6;23
103;8.68081783636745;105;482;5;23
104;8.700492190356181;106;482;4;24
105;8.714680749376036;107;482;3;25
106;8.77878207309949;108;483;2;25
107;8.78376234553221;109;484;1;25
108;8.995170589758374;110;485;0;25
109;9.462145594928456;109;484;1;25
110;9.860107341563719;110;485;0;25
111;9.914919240801973;109;484;1;25
112;10.039480775665178;108;483;2;25
113;10.081635676676598;109;484;1;25
114;10.164871178825964;108;483;2;25
115;10.227851377926696;107;482;3;25
116;10.396621417586077;106;481;4;25
117;10.458987979558755;107;482;3;25
118;10.584066946425144;106;481;4;25
119;10.725630963444736;107;481;3;26
120;10.816432554032374;108;481;2;27
121;10.9784818510634;109;482;1;27
122;11.095015248670006;110;483;0;27
123;11.145557062088061;109;482;1;27
124;11.751857415918062;108;481;2;27
125;11.949246696660733;107;480;3;27
126;12.002718409203025;108;480;2;28
